A-
AC
Aa	110
Ab	97
BC
Bb	121
CA	117
CB
ba	195
Ad	131
BD	90
Be	160
Bf	126
CD	114
CE
CF
Ai	138
BG
BH
BI
CG
CI
Ch	104
ag	109
ah	143
AJ
Ak
Al	138
BJ
BK
BL
CJ
cl	94
Am	145
An	147
BM
Bo	112
CM	117
Co	139
Ap
Aq	106
Ar	103
As	156
BP
BQ
BR
BS	121
CP	105
CR	127
CS
Au	124
CT
Cu	95
at	239
Aw	113
BW
By	155
CW
CX
Cy
ay	235
bz
DC
Da	142
EA
EB
EC
FA
FB
FC
De	167
Ed	141
Ee
Ef
Fe
DG
DH
FG	77
FH
di	192
eh	173
DJ	134
DL
EK	93
Ej
El
FJ
DM
Dn	101
Do	140
EO
En	124
FM
em	105
DQ
Dr
Ds
EP
ER
Es	100
FR	116
FS
DT
DV
Du	103
ET	113
EU
EV
FT	114
FV
Fu	105
DX
DZ
Dy	100
EY
Ex	138
FX
FY
dw	94
i-	187
GB
GC
Ga	134
HB
HC
Ha	153
IB
Ic
ia	99
GD
Ge
Gf	117
HD
He	140
ID	133
If	140
Gi
Hg
hi	138
ig	120
GK
HK	90
Ik
Il	96
GM	101
Go	149
Ho	134
IO
Im	116
In	178
gn	90
GP
GQ
GR
HP
HQ
HR
HS
IQ
Ip
Is	162
GT
Gu
HT
Hu	100
IV
It	157
GW
HZ
IX
Iz
JB
JC	115
Ja
KB
Kc	147
LC
La	151
ka	201
lb	102
JD
Je
KD
KF
Ke	116
LD
Le	109
JG
Ji
Kg	125
LG
Li
JL
KJ
KL
LJ
Lk
JM
Jn	94
Jo	113
KN	89
Km	122
LM
Lo	111
ko	219
JP
Jr	133
KP
KQ
LP
LQ
LR
LS
JT
JV
Ju
KT
KV
Ku	126
LT
LV
Lu
Ky	96
LZ
Ly
kw	98
kz	98
Mc
NB	78
NC
OA
OB
Oc
ma	167
na	249
Me	157
NE	110
NF
Oe
Of	186
nd	91
Mi
Oh	147
Oi	86
mg	132
ng	255
ni	216
og	101
NJ
NL
OJ
ml	132
ok	146
ol	94
NM
No	170
OM
On	172
mn	90
mo	208
oo	160
MS	137
NP
NR
OP	107
Or	162
mp	91
mr	142
nq
NT
NU	118
OT
mu	112
My	161
NW
NY
NZ
Ox
Oy
Oz	78
mz
PC	126
QC	110
RA	123
RB
RC
SB
SC
pa	211
sa	255
PD
PF
Pe
QF
RD
RF
Re	120
SD
SF
Se	112
PG	102
PI
Ph
QI
RG
RH
Ri	95
SG
si	214
PJ
PK
PL	87
RJ
RL
SJ
SK	104
SL
PM	130
PN
RN	92
Rm
Ro
SM
SN
So	165
po	196
qo
PR	106
PS
QR
RS
Rp
SP
Sr
sq	89
PT	104
Pu	113
QT
RT
RU
Rv
St	153
Su	112
qu	83
PX
PZ
Ry
Sy
T-
V-
TB
TC
UC
VA
ta	126
TD
TF
Te	124
UD
UE
UF
ve	87
TG
TH
Ti	119
UH	87
Ug	103
VG
Vi
TJ	99
TL
UJ
UK
VJ
VK
TM
UM
UO
Un	141
Vo
to	181
TP
TS
UR	117
Up	166
Us	153
VP	114
VR
Vs	134
Tu	113
Tv	163
UV
vu
Tx
Ty
uy	115
WB
WC
XB
Ya	146
wa	130
xa	111
za
We	145
Ye
Ze
WG
Wi
XG
Xi
YG
Yi
Zi
Xl
ZK
XM
YM
YN
yo	160
WR
XP
yr	93
Wu
XV
Xu
Yu	111
YZ
-na	249
-ng	255
A-B
C-D
C-V
Cab	90
aba	134
bab
Abd
Abe	95
Ace	109
Bad	133
Bae	107
Bcd
Bah	88
Bai
Cai
abi	94
bag	145
Ack
Bal
cal	109
Bam
Ban	117
Cam	113
Can	135
Cao
aam
aan
abo	127
bao	100
Abr
Abs	156
Bar	137
Bas	94
Cap	109
Car	127
Cas
Abu
Act	135
Cat	124
Cav
aat
bat	116
Bay	132
Cay
bby
Ada
Bea
Bed	120
Bee	103
add	117
Adi
Ael
Bel
Cel
Adm
Ado	75
Bem
Ben	133
Beo
Ceo
Ber	86
Ces
ads	111
Bet	117
Bez
Cez
Aga	125
Cha	116
Cia	110
bia
bib
Age	126
Aid	110
Bhd
Bhe	75
Che
Cid
bid	100
cge	103
Agi
Ahh	106
Big	151
Chi
Ago	126
Aim	89
Bin	97
Bio	117
Cho
bgo
Air	136
Ais
Bit	114
Chu
Cit
Bgy	100
Biy
Biz
Chx
Chy
Ciy
Al-
Ala	134
Bka
aka	102
cla	110
Ale	98
Aki
Ali	135
Blg
All	155
Blk
Alm
Alo
akn
ako	212
als
Blu
aku	81
bkt	80
bo-	112
co-	139
Ana	127
Bob	120
ama	170
cna
Ame
And	182
Ane
Ami
Anh
Cog
ang	250
ani	126
bng
Bol
Col
ank
bnk
Ann	130
Bon	97
Boo	90
Com
Coo
amo	127
anm
ano	203
cno	85
con	123
Bos
Cop	83
Cor	100
Anu	148
ant	103
bou
cnu
Amy	111
Any	119
Bow	122
Box	131
Boy	151
Cow	87
Cox
Coy
Coz	81
Ara	123
Arc	84
Bra	127
apa
asa	153
Are	145
Arf
Cpd
cre
Ash	113
Asi
apg
api	113
ari	163
bpg
Apl
Ark
Ask	123
Cpl
Aro
Bro	128
apo	136
arm	106
aso	144
Apr
ass	95
Apt
Apu
Art	131
Cpt
Ary
Bry
Cry	108
asw
Ava
Cua
ata	139
bta
Ave	106
Bud
Cue	87
ate	151
Aug
Avi
Bug	106
atg
ati
bti
Buk
Cul
Ato
Bum	90
Bun	87
Cum	107
buo	144
Cup	126
atr
bus	145
But	143
Cut	122
Avy
Buy	109
Cty
cuz
awa	139
aya	124
cya	109
Aye	81
Aze
Bye	107
axe
ayo
bwt
Ayy
ayw
D-E
Da-	142
Daa
Eba
fab	78
Dad	122
Dae
Ebe
Fad
ead
Dai	114
Dal
Dam	111
Dan	118
Dao
Eco
Fan	133
Dar	101
Das
Far	119
dap	93
ear	87
Dau
Eat	133
Eau
Fat	108
dat	81
Dax
Day	153
daw	182
fax	78
De-
Deb
Dec	110
Eda
Efa
Fea
Feb	108
dea	90
Ded
Dee	94
Edd
Fed
Fee	115
Edi
dei	90
del	139
Den	107
Deo
Fen
edo	82
Dep
Des	100
Fer
der	94
Feu	97
edu
Dew
Dex
Edz
Few	102
fez	78
Dia
dha
Did	113
Die	114
Eid
ehe
Ehg
egg	118
ehh	94
Dil
Fil
Dio
Ego	101
Fin	81
din	200
ein
Dir
Dis	99
dip
Fit
Diz	83
Fiz
Ela
Elf	82
eli
Elm
Elo
Flo
eko
Elp
Els
eks
flr
Flu	100
Ely	105
Fly	100
ekw
Fo-
Doc	123
Ema
Doe
End	132
Ene
Dog	119
Doi
Emi
Eng	113
dmi
fog	77
Dok	82
Dom
Don	151
Doo
Eon
Foo
For	174
dos	124
Dnt
Dot
Ent
Dow
Doy
Emy
Enz
Eow
Fox	105
Foz
Dra	104
Era	106
Erb
dre	77
ere	122
frd
Epi
dri
