अब
अध
आए
आफ
आई
आग
आह
आक
आज
चक
चल
आम
चौ
आप
आर
आस
चर
अत
आठ
चू
आय
छः
छा
छद
छह
छल
छप
छत
छू
एच
डच
ढा
दब
धब
दे
धड
डग
डी
दी
एक
ढक
एम
एप
एस
डर
ढ्
दल
धक
दम
दो
धन
धम
दर
दस
धर
दु
धत
घी
घन
इस
ईश
घर
ईट
घट
ईय
घ्
जब
जा
जड
जई
जी
जज
जल
जन
जम
जो
जौ
झट
ना
नए
नई
नग
नह
नख
नल
नम
नौ
नर
नस
नट
तब
था
थे
टी
ठग
ठी
तह
तक
तल
थक
टन
तन
तो
थन
उप
तर
उठ
ऑफ
बच
बढ
बे
बह
बी
भी
बल
भक
बन
बम
बो
बस
भर
भय
फच
फज
फल
फर
फट
फ्
गए
हद
हे
है
गई
ही
गज
हल
गण
गन
गो
हम
हो
हौ
गप
हर
गत
हठ
ह्
कब
का
खा
ला
कद
कफ
के
कै
खद
लद
ले
कई
कह
कि
की
खग
लग
ली
कल
कण
कम
को
खो
लो
कप
कर
कश
कस
लप
लस
कट
लट
लत
लू
लय
मा
ओफ
मद
मे
ओह
मई
मी
मल
ओन
मन
ओर
ओस
और
औष
मर
ओत
मठ
मत
म्
पब
पा
सच
सब
सा
पड
पद
पे
रद
रे
सड
से
पग
पी
रग
रह
सह
सी
पक
पल
रख
शक
ऋण
रण
रन
शो
सन
सम
सौ
पर
रस
शप
शर
सर
पट
पथ
पु
रत
रथ
शत
शव
सत
ऊब
वा
वध
वे
वह
वी
ऊन
वन
उस
वर
वश
ऊट
तट
तू
वत
तय
वय
या
ये
यह
यू
आभा
अभी
चाह
अचल
चाक
चाल
छाल
छान
चाप
चार
छाप
चाव
चाय
अदा
अदल
चेक
चैक
अधम
आड़
आधा
आधे
आडी
आदि
आदी
आधी
चेन
चैन
आदर
आदत
छड़
छेद
छडी
आगा
आहा
आगे
चीड
चहल
चिक
चीख
चीज
चील
अगम
आगम
चीं
चीन
आइस
चिर
चीर
छिप
आगत
आहत
चित
छिट
छीः
छीन
आला
चला
अकड
चले
अलग
चली
छली
अलक
चलन
आकर
आलू
आना
चना
छना
अंड
आने
चने
छोड
अंग
अनी
छङी
अंक
आँक
आँख
आंख
चमक
चौक
अमन
अंश
अंस
अमर
चोर
छोर
अंत
अणु
आँत
आंत
आनत
चोट
अरब
आरा
आशा
छपा
अरे
आपे
छपे
आरी
छपी
असम
आसन
चरण
चरम
असर
आपस
चरस
आशु
आसु
आशय
अतः
आटा
आता
छटा
छठा
आटे
आते
अति
आती
छवि
अटल
अथक
आवक
चूक
चूल
चुन
चूँ
अतर
अवर
चुप
चूर
आउट
आया
आये
आयी
चयक
आयन
चयन
आयु
च्क
च्ख
च्ग
च्घ
च्ङ
च्च
च्छ
च्ज
च्झ
च्ञ
च्ट
च्ठ
च्ड
च्ढ
च्ण
च्त
च्थ
च्द
च्ध
च्न
च्प
च्फ
च्ब
च्भ
च्म
च्य
च्र
च्ल
च्ळ
च्व
च्श
च्ष
च्स
च्ह
छंद
छूट
छूत
छ्क
छ्ख
छ्ग
छ्घ
छ्ङ
छ्च
छ्छ
छ्ज
छ्झ
छ्ञ
छ्ट
छ्ठ
छ्ड
छ्ढ
छ्ण
छ्त
छ्थ
छ्द
छ्ध
छ्न
छ्प
छ्फ
छ्ब
छ्भ
छ्म
छ्य
छ्र
छ्ल
छ्ळ
छ्व
छ्श
छ्ष
छ्स
छ्ह
बचा
बचे
बाए
बाड
बाढ
बाद
भाड
बाई
बाग
बाघ
भाई
भाग
बाज
बाल
भाल
बाण
बाम
बाप
बार
बास
भाप
भार
बचत
बाट
बात
भाट
भात
भाव
बड़
बडा
बढा
बडे
बढे
बडी
बढी
बदल
बढत
बढ़
बेच
भेड
भेद
बैग
बेल
बैल
भेज
बेर
बेस
बैर
भेष
बैठ
बहा
बिब
बीच
बगी
बही
बिग
बगल
बहक
बिल
बीज
बहन
बिन
बीन
बहस
बीस
बहु
बहू
बिट
बजा
बजी
बलि
बली
बजट
बङा
बना
बँद
बंद
बने
बनी
बसा
बरफ
बरक
बरस
बता
बुआ
बटे
बुध
बतख
बुक
बुझ
बुल
बूझ
बटन
बतर
बूट
बूथ
बॉस
भगा
भीड
भीख
भगत
भला
भली
भजन
बोध
भोग
बोझ
बोल
भोज
भौं
बोर
भोर
बोट
ब्क
ब्ख
ब्ग
ब्घ
ब्ङ
ब्च
ब्छ
ब्ज
ब्झ
ब्ञ
ब्ट
ब्ठ
ब्ड
ब्ढ
ब्ण
ब्त
ब्थ
ब्द
ब्ध
ब्न
ब्प
ब्फ
ब्ब
ब्भ
ब्म
ब्य
ब्र
ब्ल
ब्ळ
ब्व
ब्श
ब्ष
ब्स
ब्ह
भंग
भरा
भरे
भरी
भरण
भूख
भूल
भवन
भून
भूत
भ्क
भ्ख
भ्ग
भ्घ
भ्ङ
भ्च
भ्छ
भ्ज
भ्झ
भ्ञ
भ्ट
भ्ठ
भ्ड
भ्ढ
भ्ण
भ्त
भ्थ
भ्द
भ्ध
भ्न
भ्प
भ्फ
भ्ब
भ्भ
भ्म
भ्य
भ्र
भ्ल
भ्ळ
भ्व
भ्श
भ्ष
भ्स
भ्ह
डाग
डबल
डाक
एअर
डाट
एफ़
एका
एकल
एकर
ऐंठ
ऐसा
डरा
ऐसे
ऐसी
डरो
एवँ
एवं
ड़र
डाल
डेक
डेट
डील
डिश
डंक
डूब
ड्क
ड्ख
ड्ग
ड्घ
ड्ङ
ड्च
ड्छ
ड्ज
ड्झ
ड्ञ
ड्ट
ड्ठ
ड्ड
ड्ढ
ड्ण
ड्त
ड्थ
ड्द
ड्ध
ड्न
ड्प
ड्फ
ड्ब
ड्भ
ड्म
ड्य
ड्र
ड्ल
ड्ळ
ड्व
ड्श
ड्ष
ड्स
ड्ह
ढाई
ढाल
ढेर
ढील
ढका
ढँग
ढंग
ढ़क
ढोल
ढ्क
ढ्ख
ढ्ग
ढ्घ
ढ्ङ
ढ्च
ढ्छ
ढ्ज
ढ्झ
ढ्ञ
ढ्ट
ढ्ठ
ढ्ड
ढ्ढ
ढ्ण
ढ्त
ढ्थ
ढ्द
ढ्ध
ढ्न
ढ्प
ढ्फ
ढ्ब
ढ्भ
ढ्म
ढ्य
ढ्र
ढ्ल
ढ्ळ
ढ्व
ढ्श
ढ्ष
ढ्स
ढ्ह
दबा
दाब
दाद
दबी
दाई
दाग
दाह
दाल
दान
दाम
धान
दार
दास
धार
देह
देख
दफन
दें
देन
देर
देश
देव
दैव
देय
दही
दहक
दिख
दिल
धिक
दहन
दिन
दीन
दीप
धीर
दंभ
दंड
दौड
दमक
धौल
दमन
दंश
दोष
दौर
दंत
दशा
दृढ
दरी
दशक
दवा
दूद
दूध
दुख
दूज
दूर
दूत
दया
द्क
द्ख
द्ग
द्घ
द्ङ
द्च
द्छ
द्ज
द्झ
द्ञ
द्ट
द्ठ
द्ड
द्ढ
द्ण
द्त
द्थ
द्द
द्ध
द्न
द्प
द्फ
द्ब
द्भ
द्म
द्य
द्र
द्ल
द्ळ
द्व
द्श
द्ष
द्स
द्ह
धड़
धनी
धमक
धनु
धरन
धूल
धुन
धूम
धूप
ध्क
ध्ख
ध्ग
ध्घ
ध्ङ
ध्च
ध्छ
ध्ज
ध्झ
ध्ञ
ध्ट
ध्ठ
ध्ड
ध्ढ
ध्ण
ध्त
ध्थ
ध्द
ध्ध
ध्न
ध्प
ध्फ
ध्ब
ध्भ
ध्म
ध्य
ध्र
ध्ल
ध्ळ
ध्व
ध्श
ध्ष
ध्स
ध्ह
फाल
फैल
फेन
फेर
फिर
फिश
फलद
फली
फलक
फनल
फौज
फोन
फोम
फँस
फसल
फटा
फटे
फूल
फूस
फुट
फूट
फ्क
फ्ख
फ्ग
फ्घ
फ्ङ
फ्च
फ्छ
फ्ज
फ्झ
फ्ञ
फ्ट
फ्ठ
फ्ड
फ्ढ
फ्ण
फ्त
फ्थ
फ्द
फ्ध
फ्न
फ्प
